text,topic,topic_label
"Polystichum aculeatum, the hard shield-fern, is an evergreen fern native to Europe. It is most abundant in upland regions of the British Isles and western France, where it benefits from the combination of mild winters and moist summers, but also occurs more locally across most of Europe except northern Scandinavia, northern Russia; in the Mediterranean region it is confined to high altitudes. It grows on steep slopes in woodlands. The glossy dark green fronds are 30–90 cm long, usually drooping downslope, with typically 3-8 fronds on a mature plant. The fronds are stiff and hard-textured, bipinnate (single-pinnate on small, young plants), with the pinnae opposite on the stalk. Each pinna is 3–11 cm long, with a large upward-pointing pinnule at the base, and the other pinnules decreasing in size toward the pinna tip; the pinnules have bristly tips. Individual fronds live for 1.5-2.5 years and remain attached to the rhizome after withering. The round sori occupy two rows on either side of the midrib of each pinnule and are covered by a centrally-attached, umbrella-like indusium with fringed edges. They produce light yellow spores. It is occasionally grown as an ornamental plant in gardens.",nature,7
Sceloporus occidentalis occidentalis is a subspecies of the western fence lizard. The common name for this taxon is the northwestern fence lizard. This lizard occurs in the state of Washington in the United States.,nature,7
"The Yucatán Mushroomtongue Salamander (Bolitoglossa yucatana) is a species of salamander in the family Plethodontidae.It is found in Belize and Mexico.Its natural habitats are subtropical or tropical moist lowland forests, rural gardens, and heavily degraded former forest.It is threatened by habitat loss.",nature,7
"Notogrammitis heterophylla is a species of fern within the family polypodiaceae ferns. The species is found in New Zealand, Tasmania and Victoria, Australia. This plant is epiphytic In New Zealand's Westland N. heterophylla occurs in association with other epiphytes such as Asplenium polyodon and Trichomanes reniforme.",nature,7
"Enhydrina zweifeli snakes are found from New Guinea to Australia (Northern Territory and Queensland). In the past they were thought to be Enhydrina schistosa, but after DNA testing are now provisionally identified as Enhydrina zweifeli. DNA test have shown they are not related to Enhydrina schistosa. Enhydrina zweifeli are commonly known as the Sepik or Zweifel’s beaked seasnake. Enhydrina zweifeli is a highly venomous species of sea snake. Studied Enhydrina zweifeli have been near the mouth of Sepik River of New Guinea.",nature,7
"In taxonomy, Ankyra is a genus of green algae, specifically of the Chlorococcaceae. This genus of algae is closely related to Atractomorpha and Sphaeroplea.",nature,7
"The 'Swazie' apple, also called 'Pomme Grise d'Or', possibly the same as 'Golden Gray', is a high-quality small to medium-sized apple that keeps well through the winter. The original tree appeared near Niagara-on-the-Lake at the plant nursery of Isaac Swayze.",nature,7
"The desert wheatear (Oenanthe deserti) is a wheatear, a small passerine bird that was formerly classed as a member of the thrush family Turdidae, but is now more generally considered to be an Old World flycatcher (Muscicapidae). It is a migratory insectivorous species, 14.5 to 15 cm (5.7 to 5.9 in) in length. Both western and eastern forms of the desert wheatear are rare vagrants to western Europe. The western desert wheatear breeds in the Sahara and the northern Arabian peninsula. The eastern race is found in the semi-deserts of central Asia and in winter in Pakistan and northeast Africa. The plumage of the upper parts of the male in summer is buff. The underparts are white with a buff tinge on the breast. The black on the face and throat extends to the shoulders, and there is distinct white superciliary stripe. The female is greyer above and buffer below and has no black on the throat, and in the winter plumage the black on the throat of the male is partially obscured by the white tips of the feathers. A distinguishing characteristic, in both sexes of all ages, is that the entire tail is black to the level of the upper tail-coverts. The desert wheatear feeds largely on insects which it picks up off the ground. It breeds in the spring when a clutch of usually four pale blue, slightly speckled eggs is laid in a well-concealed nest made of grasses, mosses and stems.",nature,7
"The marbled reed frog or painted reed frog (Hyperolius marmoratus) is a species of frogs in the Hyperoliidae family found in Malawi, Mozambique, South Africa, Swaziland, and Zimbabwe, and Botswana, Lesotho, and Tanzania.It occurs in a wide range of natural habitats, including forests, savannas, shrublands, grasslands, rivers, swamps, freshwater lakes, and intermittent freshwater lakes. It coexists well with humans, and is also found in pastureland, rural gardens, and urban areas. Its range appears to be expanding to the winter rainfall area of the Western Cape.",nature,7
"Stasina paripes, is a species of spider of the genus Stasina. It is endemic to Sri Lanka.",nature,7
"Cyrtocarcinus truncatus is a species of crab in the family Xanthidae that lives in the waters around Hawaii. It was described in 1906 by Mary J. Rathbun as Harrovia truncata, based on a single immature male specimen caught near Kauai. Masatsune Takeda transferred the species to his new genus Glyptocarcinus in 1979, and Peter Ng and Diana Chia erected a new genus, Cyrtocarcinus, for this species alone, in 1994.",nature,7
"Sunset Reservoir is one of three terminal reservoirs in the Regional Water System in San Francisco, California. The reservoir, the city's largest, is located in the Sunset District at 24th Avenue and Ortega Street, and is owned and maintained by the San Francisco Public Utilities Commission. Completed in 1960, the subterranean reservoir was constructed as an 11-acre (4.5 ha), 1,000 by 500 feet (300 m × 150 m), concrete basin, now containing 720 floor-to-ceiling columns. With its maximum depth of 33 ft (10 m), the reservoir's capacity is 270 acre·ft (330,000 m3) with average daily flows of 46 acre feet (57,000 m3) through 42-inch (1.1 m) inlet/outlet pipes.",nature,7
Veigaiidae is a family of mites belonging to the superorder Parasitiformes. However they are not parasitic but free-living and predatory and are found in soil and decaying organic matter. Some species are specialists of rocky shorelines. Members of this family can be distinguished by a hyaline appendage on the tarsus of the pedipalp.,nature,7
"Limbella fryei (Frye's limbella moss) is a species of plant in the Pterobryaceae family. It is endemic to the United States. It is believed to occur in Oregon.As the species is threatened by habitat loss while only occurring in a very restricted area (less than 10 km2), it has been classified as critically endangered by the IUCN.",nature,7
The Ptenoglossa is an informal taxonomic group of sea snails.This group was considered paraphyletic or polyphyletic by Ponder and Lindberg (1997) in their classification of gastropod molluscs.,nature,7
Batrachedra leucophyta is a species of moth of the Batrachedridae family. It is found in Australia.,nature,7
"Magnapinna sp. C is an undescribed species of bigfin squid known only from a single specimen of 79 mm mantle length (ML) collected in the southern Atlantic Ocean and held in the Natural History Museum. It is characterised by several morphological features: the proximal tentacles are more slender than arm pair IV, pigmentation is contained in the chromatophores, and \""white nodules\"" are absent from the fins and glandular regions of the proximal tentacles. Magnapinna sp. C was originally illustrated in The Open Sea in 1956 and identified as Octopodoteuthopsis.",nature,7
"Leptotyphlops signatus, or the South American blind snake, is a species of snake in the Leptotyphlopidae family.",nature,7
"Enyalioides binzayedi is a species of lizard in the genus Enyalioides known from only one location in the Cordillera Azul National Park in Peru. The lizard is named after Mohammed bin Zayed Al Nahyan, who sponsored the field survey that led to the discovery of the species.",nature,7
'Yin' is a hybrid cultivar of the genus Neoregelia in the Bromeliad family.,nature,7
Typhlochactidae is a family of troglomorphic scorpions native to eastern Mexico.,nature,7
"Anomalous Sea Snake (Thalassophis anomalus) is a species of sea snake.Its distribution includes the South Chinese Sea (Malaysia, Gulf of Thailand), and the Indian Ocean (Sumatra, Java, Borneo).",nature,7
"The little woodswallow (Artamus minor), is a bird patchily distributed over much of mainland Australia, avoiding only the driest deserts and the area within about 300 kilometres of the southern coastline, and showing a preference for rugged terrain around inland ranges. As its name suggests, at 12 to 14 cm in length it is the smallest of the woodswallows. It is dark, smoky brown overall, with deep gunmetal grey wings and a black-tipped, blue-tinged bill. Like other woodswallows, groups cluster huddled close together on high, dead branches to rest or sleep. Typical group sizes are modest but it is not uncommon to have hundreds gather together at a roost site. Little woodswallows soar effortlessly above the treetops or along cliff faces when hunting flying insects—being small, they are easily confused with martins. The nest is a rudimentary affair, placed in a tree hollow or similar space, and made of twigs and other vegetable matter. Breeding takes place from August to January, or after rain. Three eggs are laid and the young leave the nest when barely able to fly, taking up a perch on a nearby tree and calling incessantly for the food the parents bring them.",nature,7
Typhlodromus is a genus of predatory mites belonging to the family Phytoseiidae. Members of this genus feed largely on other mites such as red spider mites and several species are popular as biological control agents to control these pests.,nature,7
"The European pond turtle (Emys orbicularis), also called the European pond terrapin, is a long-living freshwater species of turtle.",nature,7
"Mahehia is a genus of woodlice in the family Porcellionidae, which is endemic to the Seychelles. It contains the following species: \n* Mahehia bicornis Budde-Lund, 1913 \n* Mahehia laticauda Budde-Lund, 1913 \n* Mahehia maculata Budde-Lund, 1913",nature,7
"Alucita flaviserta is a species of moth of the Alucitidae family. It is known from Mozambique. The male of this species has a wingspan of 14 mm. The head is white with few dark fuscous specks. Thorax is white, with the anterior half irrorated (speckled) with dark grey and two small greyish spots posteriorly. Abdomen whitish. Forewings are white with a blackish semioval spot at costa near the base. Markings are ochreous-yellow. The holotype was found in Magude in southern Mozambique.",nature,7
"The sharpsnout stingray or wingfin stingray, Dasyatis geijskesi, is a species of stingray in the family Dasyatidae, found from off Venezuela to northern Brazil. It inhabits shallow, brackish water, shifting towards the coast in the dry season and away from it in the rainy season. Typically measuring 70 cm (28 in) across, this dark brown ray is easily identifiable by its long, projecting snout and elongated, acutely pointed pelvic fins. Its diet consists of bottom-dwelling invertebrates. Reproduction is aplacental viviparous, with females bearing one to three pups annually. Naturally uncommon and slow-reproducing, the sharpnose stingray is under pressure by both artisanal and commercial fisheries, leading the International Union for Conservation of Nature (IUCN) to assess it as Near Threatened.",nature,7
"The Isabella grape is a cultivar derived from the grape species Vitis labrusca or 'fox grape' which is used for table, juice and wine production.",nature,7
"Sarysu (Azerbaijani: Sarısu meaning \""Yellow Lake\"") is the largest lake of Azerbaijan located in Imishli and Sabirabad raions of the Kur-Araz Lowland.",nature,7
"Encephalartos is a genus of cycad native to Africa. Several species of Encephalartos are commonly referred to as bread trees, bread palms or kaffir bread, since a bread-like starchy food can be prepared from the centre of the stem. The genus name is derived from the Greek words en (within), kephali (head), and artos (bread), referring to the use of the pith to make food. They are, in evolutionary terms, some of the most primitive living gymnosperms. All the species are endangered, some critically, due to their exploitation by collectors and traditional medicine gatherers. The whole genus is listed under CITES Appendix I / EU Annex A. CITES prohibits international trade in specimens of these species except for certain non-commercial motives, such as scientific research.",nature,7
"Crassispira integra is a species of sea snail, a marine gastropod mollusk in the family Pseudomelatomidae.",nature,7
"The Yucatan vireo (Vireo magister) is a species of bird in the Vireonidae family. Closely related to the red-eyed vireo, its plumage a duller overall. It measures 14.5–15.5 cm (5.7–6.1 in). It has a stout, hooked bill that is gray, paler at the base. A broad white eyebrow contrasts with a dull gray crown. A broad dark stripe runs through the brown eye. Upperparts are a dull olive gray. Throat and underparts are whitish. The wings and tail are dark with olive green margins. Legs and feet are grayish blue. Its natural habitats are subtropical or tropical dry forests, subtropical or tropical mangrove forests, and heavily degraded former forest. It is found in Belize, Honduras, Mexico, as well as on Grand Cayman. There is a well-documented record from High Island, Texas, in 1984, but this is the only record for the United States. Four subspecies are recognized, the large number reflecting its distribution amongst far-flung islands and a small strip of the mainland. \n*  V. m. magister – (Baird, SF, 1871): nominate, found in southeastern Mexico and Belize  \n*  V. m. decoloratus – (Phillips, AR, 1991): found on islands off of northern and central Belize  \n*  V. m. stilesi – (Phillips, AR, 1991): found on islands off of southern Belize and northern Honduras  \n*  V. m. caymanensis – Cory, 1887: found on Grand Cayman Island",nature,7
"Aleuron chloroptera is a moth of the family Sphingidae. It was described by Perty in 1833, and is known from southern Mexico, Brazil, Belize, Guatemala, Nicaragua, Costa Rica, Colombia, Peru, Bolivia, Venezuela, Guyana, Surinam, French Guiana, Paraguay, Argentina and Ecuador. It is probably also present in Uruguay, Honduras, El Salvador and Panama. The wingspan is 64–70 mm. Adults are on wing at least from April to January. In Costa Rica adults have been recorded in January, from April to August and from November to December. Adults feed on the nectar of Callianra, Inga and Duranta species. The larvae feed on Curatella americana, Davilla nitida and probably other Dilleniaceae species.",nature,7
"Dichomeris dentata is a moth in the Gelechiidae family. It was described by Li, Zhen and Mey in 2013. It is found in Malawi. The wingspan is about 17 mm. The forewings are greyish brown, with dense dark brown scales distally and a dark brown fascia from the upper middle of the cell to the middle of the fold, becoming a rounded spot at the fold. The hindwings are grey.",nature,7
"The Papuan scrubwren (Sericornis papuensis) is a bird species. Placed in the family Pardalotidae in the Sibley-Ahlquist taxonomy, this has met with opposition and indeed is now known to be wrong; they rather belong to the independent family Acanthizidae. It is found in Indonesia and Papua New Guinea. Its natural habitat is subtropical or tropical moist montane forests.",nature,7
"The Tasmanian emu (Dromaius novaehollandiae diemenensis) is an extinct subspecies of the emu. It was found on Tasmania where it had become isolated during the Late Pleistocene. As opposed to the other insular emu taxa, the King Island and the Kangaroo Island emu, the population on Tasmania was sizable, meaning that there were no marked effects of small population size as in the other two isolates. Thus, the Tasmanian Emu had not progressed to the point where it could be considered a distinct species, and even its status as a distinct subspecies is not universally accepted as it agreed with the mainland birds in measurements and the external characters used to distinguish it—a whitish instead of black foreneck and throat and an unfeathered neck—apparently are also present, albeit rare, in some mainland birds. There are suggestions the bird was slightly smaller than the modern emu, but in conflict, other evidence (including descriptions of Pleistocene remains) indicates that both are similar in size. Today, it is apparently only known from subfossil bones, the skins which once existed having been lost.",nature,7
Simaetha is a spider genus of the Salticidae family (jumping spiders). All nineteen species inhabit the Australasian region. The genus resembles Simaethula and Stertinius.,nature,7
"Red Astrachan is a Russian cultivar of domesticated apple, which is an early season apple, juicy, tart and crisp texture with pleasant flavour, and use for eating, cooking and cider. It is medium-sized, crimson colored. As all the early season apples, it is not good for storage. It is known by several other names including 'Abe Lincoln', 'American Red', and 'Waterloo'.",nature,7
"Highland Lake (formerly known as Duck Pond) extends from the northern tip of Westbrook through the western edge of Falmouth into east Windham, Maine. The south end of the lake overflows via Mill Brook 4 miles (6.4 km) through Westbrook to the Presumpscot River at Riverton. The shoreline of the lake is heavily developed with residences, seasonal cabins, and a state-owned parking area off Mast Road in Falmouth for the launch of canoes and car-top boats. The deeper northern basin of the lake in Windham has been stocked with brown trout, splake, alewife, and occasionally brook trout and land-locked Atlantic salmon. The shallow southern basin is favorable habitat for white perch and chain pickerel, and has been stocked with largemouth bass.",nature,7
"Lake Isabel is located in Glacier National Park, in the U. S. state of Montana. Lake Isabel is northeast of Battlement Mountain and northwest of Vigil Peak. Located in a remote region of Glacier National Park, Lake Isabel is a 30 miles (48 km) roundtrip hike from Two Medicine Lake.",nature,7
Allocosa is a spider genus of the Lycosidae family (wolf spiders). The about 140 recognized species are spread worldwide.,nature,7
"Brongersma's toad or crapaud de Brongersma (Bufo brongersmai) is a species of toad in the family Bufonidae.It is found in Algeria, Morocco, and Western Sahara.Its natural habitats are subtropical or tropical dry shrubland, Mediterranean-type shrubby vegetation, intermittent rivers, intermittent freshwater marshes, rocky areas, hot deserts, arable land, ponds, and canals and ditches.It is threatened by habitat loss.",nature,7
"Compsolechia sporozona is a moth of the Gelechiidae family. It was described by Meyrick in 1914. It is found in Guyana, Brazil and Peru. The wingspan is 13-16 mm. The forewings are blackish, the markings formed of white irroration. There is a narrow basal fascia, widest on the dorsum, as well as a broad oblique antemedian fascia, sometimes connected on the dorsum with the basal, marked with a more or less distinct blackish spot representing the plical stigma. There is a broad postmedian direct fascia, not reaching the dorsum, marked with a round blackish spot representing the second discal stigma. There is also a slightly curved subterminal shade and a slender streak along the termen. The basal third of the hindwings is grey, around the apex sometimes whitish-tinged towards the tips.",nature,7
"Jenny Lake is located in Grand Teton National Park in the U.S. state of Wyoming. The lake was formed approximately 12,000 years ago by glaciers pushing rock debris which carved Cascade Canyon during the last glacial maximum, forming a terminal moraine which now impounds the lake. The lake is estimated to be 423 feet (129 m) deep and encompasses 1,191 acres (482 ha). Jenny Lake is considered to be a major focal point in Grand Teton National Park, with many hiking trails, scenic boat rides, and quick access to the major climbing routes onto the tallest peaks of the Teton Range. Jenny and Jackson Lakes are the only lakes in Grand Teton National Park where motorboats are permitted; both lakes have scenic tours available. A 2005 study of the water quality of the lakes in Grand Teton National Park indicated that all the lakes in the park were still considered pristine and that they had not been impacted by air or water pollution. Jenny Lake is a starting point for many day and overnight hiking trips. The 7.1-mile (11.4 km) Jenny Lake Trail loops around the lake and is considered to be relatively easy due to the small altitude gain of 700 feet (210 m). However, the altitude increases rapidly once Cascade Canyon is entered. Jenny Lake is named after a Shoshone Indian woman who married an Englishman, Richard \""Beaver Dick\"" Leigh. Jenny, and their 6 children, died of Smallpox in 1876.",nature,7
"Calibanus is a subgenus of sea snails, cone snails, marine gastropod mollusks in the genus Conus, family Conidae, the cone snails and their allies. In the new classification of the family Conidae by Puillandre N., Duda T.F., Meyer C., Olivera B.M. & Bouchet P. (2015), Calibanus  has become a subgenus of Conus: Conus (Calibanus ) da Motta, 1991 represented as Conus Thiele, 1929",nature,7
Carmichaelus maculatus is a species of harvestmen in a monotypic genus in the family Sclerosomatidae.,nature,7
"The tire track eel (Mastacembelus armatus) is a species of ray-finned, spiny eels belonging to the genus Mastacembelus (Scopoli, 1777) of the family Mastacembelidae, and is native to the riverine fauna of India, Pakistan, Sri Lanka, Thailand, Viet Nam, Indonesia and other parts of South East Asia. The species was named Mastacembelus armatus by Lacepède in 1800. Other common names for this popular aquarium species are zigzag eel, spiny eel, leopard spiny eel and white-spotted spiny eel. This species is not only a popular aquarium fish but also as a food fish in its country of origin.",nature,7
"'Annurca', pronounced in Italy [anˈnurka], also called 'Anurka', is a historically old cultivar of domesticated apple native to Southern Italy, It is believed to be the one mentioned by Pliny the Elder in his Naturalis Historia, and in the 16th century by Gian Battista della Porta. However it was first mentioned by this name by Giuseppe Antonio Pasquale. Still today it is abundantly cultivated in Southern Italy, typically at the border between the Caserta and Benevento provinces, in the valley which is called the \""queen of apples\"".",nature,7
"Ostreococcus tauri is a unicellular species of marine green alga about 0.8 micrometres (μm) in diameter, the smallest free-living (non-symbiotic) eukaryote yet described. It has a very simple ultrastructure, and a compact genome. As a common member of global oceanic picoplankton populations, this organism has a major role in the carbon cycle in many areas. Recently, O. tauri has been the subject of studies using comparative genomics and functional genomics, as it is of interest to researchers because of its compact genome and green lineage.",nature,7
"Ozyptila atomaria is a species of crab spider. It is very common on moist meadows of central Europe. Females reach up to 6 mm, males grow up to 4 mm, making it the biggest Ozyptila species. Both sexes are similar, generally yellowish brown, with two black lines running along the sides of the cephalothorax. Adults can be found at all times.",nature,7
"The Indian mud moray, Gymnothorax tile, is a moray eel found in the western Pacific and Indian Oceans. It was first named by Hamilton in 1822, and is also commonly known as the freshwater moray or freshwater snowflake eel. It lives in marine conditions, but travels to fresh water for breeding and spawning. When kept as pets, Indian mud morays actually thrive better in brackish water, rather than pure fresh water. It is said to reach a length of about 24 in (0.61 m). These eels can live up to 30 years. The species is characterized by a black body with orange and white speckles covering the length of the body. Gymnothorax tile, like any other moray eel, possesses a second set of jaws, called the pharyngeal jaws, to swallow their prey. This eel also possesses terrible eyesight, and instead relies upon a keen sense of smell and vibrations in the water to detect prey or approaching threats. It is for the most part a scavenger that eats dead fish, krill, shrimp, and other such foods. Due to its poor eyesight, this eel does not hunt on a normal basis, but will resort to hunting if there is no other option.",nature,7
"Gephyromantis pseudoasper, commonly known as the Massif Madagascar Frog, is a species of frog in the Mantellidae family. It is endemic to Madagascar. Its natural habitats are subtropical or tropical moist lowland forests, rivers, and heavily degraded former forest.",nature,7
Stigmella satarensis is a moth of the Nepticulidae family. It was described by Scoble in 1978. It is found in South Africa (it was described from the Kruger National Park in Transvaal).,nature,7
"Onchidium nigrum is a species of air-breathing sea slug, a shell-less marine pulmonate gastropod mollusk in the family Onchidiidae.",nature,7
Jukajärvi is a lake in the Finnish municipality of Juva located in the province of Eastern Finland. It covers an area of 9.2 km² in the Southern Savonia. The lake has the maximum length of 7 km. In Eastern Finland there are several lakes with the same name.,nature,7
"Meioceras cornucopiae is a species of minute sea snail, a marine gastropod mollusk or micromollusk in the family Caecidae.",nature,7
"Portia schultzi is a jumping spider which ranges from South Africa in the south to Kenya in the north, and also is found in West Africa and Madagascar. In this species, which is slightly smaller than some other species of the genus Portia, the bodies of females are 5 to 7 mm long, while those of males are 4 to 6 mm long. The carapaces of both sexes are orange-brown with dark brown mottling, and covered with dark brown and whitish hairs lying over the surface. Males have white tufts on their thoraces and a broad white band above the bases of the legs,and these features are less conspicuous in females. Both sexes have tufts of orange to dark orange above the eyes, which are fringed with pale orange hairs. Males' abdomens are yellow-orange to orange-brown with blackish mottling, and on the upper sides are black and light orange hairs, and nine white tufts. Those of females are pale yellow and have black markings with scattered white and orange-brown hairs on the upper side. P. schultzi has relativity longer legs than other Portia, and a \""lolloping\"" gait. While most jumping spiders focus accurately up to about 75 cm away, P. schultzi responds to a maximum of about 10 cm in good light, and ignores everything in very subdued light. For prey, P. schultzi prefers web-based spiders, then jumping spiders, and finally insects. The females of P. schultzi and other Portia species build \""capture webs\"" to catch prey, and often join their own webs on to web-based spiders to catch the other spiders or their prey. If a P. schultzi female is mature, a male P. schultzi will try to copulate with her, or cohabit with a subadult female and copulate while she is moulting. They usually mate on a web or on a dragline made by the female, and P. schultzi typically copulates for about 100 seconds, while others in the genus can take several minutes or even several hours. Females try to kill and eat their mates during or after copulation, and subadult females mimic adult females to attract males as prey. Contests between Portia females are violent, and embraces in P. schultzi typically take 20 to 60 seconds. Sometimes, one female knocks the other on her back and the other may be killed and eaten if she does not right herself quickly and run way. When hunting, P. schultzi mature females emit olfactory signals that reduce the risk that any other females, males, or juveniles of the same species may contend for the same prey.",nature,7
"The cordilleran canastero (Asthenes modesta) is a species of bird in the Furnariidae family.It is found in Argentina, Bolivia, Chile, and Peru.Its natural habitats are temperate grassland and subtropical or tropical high-altitude grassland. Seven subspecies are recognized: \n* A. m. proxima (Chapman, 1921) - Peru \n* A. m. modesta (Eyton, 1852) - Argentina, Bolivia, Chile, and Peru \n* A. m. hilereti (Oustalet, 1904) - Tucumán and Catamarca, Argentina \n* A. m. rostrata (von Berlepsch, 1901) - Bolivia \n* A. m. serrana Nores, 1986 - Argentina \n* A. m. cordobae Nores & Yzurieta, 1980 - Argentina. Includes former subspecies A. m. navasi (Remsen, 2003) \n* A. m. australis Hellmayr, 1925 - Chile and Argentina",nature,7
"Panulirus cygnus is a species of spiny lobster (family Palinuridae), found off the west coast of Australia. Panulirus cygnus is the basis of Australia's most valuable fishery, making up 20% of value of Australia's total fishing industry, and is identified as the western rock lobster.",nature,7
"The bridled frog (Litoria nigrofrenata) is a species of frog in the Hylidae family.It is found in Australia, Papua New Guinea, and possibly West Papua in Indonesia.Its natural habitats are subtropical or tropical dry forests, moist savanna, intermittent rivers, swamps, intermittent freshwater marshes, and ponds.It is threatened by habitat loss.",nature,7
"Unkervatnet (Southern Sami: Åanghkejaevrie) is a lake in the municipality of Hattfjelldal in Nordland county, Norway. It is a good lake for fishing lake trout and Arctic char both during summer and winter. The river flowing into the lake from the east is called Skarmodalselva, and the outflowing river is called Unkerelva (which itself flows into the river Vefsna). For tourists, there are two places available by the shoreside: Ørnes camping at the eastern end of the lake, and Tjolmen, situated on the north side of the lake's middle. The road from Hattfjelldal to Dikanäs in Sweden runs along the north side of the lake.",nature,7
"Falcatifolium falciforme is a species of conifer in the Podocarpaceae family.It is found in Brunei, Indonesia, and Malaysia.",nature,7
Paraplexippus is a spider genus of the Salticidae family (jumping spiders). Both described species are endemic to Cuba.,nature,7
"Arabibarbus grypus is a species of Cyprinid fish called in English and Persian or Arabic by the common names shirbot and variations shabut, shabboot or shabbout, and in local languages by several other common names. It is a large freshwater carp found in the Tigris-Euphrates Basin. It is a commercially fished species in this region. This species can grow to a length of nearly 2 metres (6 ft 7 in) and a weight of over 50 kg (110 lb). A. grypus has recently been in the news  when it was proposed that this \""shabut\"" was identical to the fish called in the Talmud shibuta (שיבוטא). The latter's brain is famous for being touted as the kosher equivalent, taste-wise, of the otherwise forbidden and even taboo pork meat (cf. Chullin 109b). However, names of species are notorious for changing over time and between related languages, a fact, incidentally, the Talmud itself attests. The fact that Arabibarbus grypus is called in Modern Hebrew Shibuta is no proof that it is the same fish as the Talmudic one, as Modern Hebrew has a strong tendency to assimilate local Arabic names for such realia. The fish is also being considered for aquaculture. Many species of carp are farmed as a protein source already.",nature,7
Aulacodes cuprescens is a moth in the Crambidae family. It was described by Hampson in 1912. It is found in Brazil (São Paulo).,nature,7
"The Prigogine's nightjar or Itombwe nightjar (Caprimulgus prigoginei) is a nightjar which breeds in tropical central Africa. It is known from only one specimen taken in the Itombwe Mountains in Zaire in February 1952. It appears to be a forest species, but nothing is known of its habits or breeding, although it is likely to nest on bare ground like its relatives. It is assumed to be a nocturnal insectivore like other nightjars. Prigogine's nightjar is a small nightjar at 19 cm, short-tailed and large-headed. The adult female is dark brown with heavy speckling. In flight it is again mainly brown, without the white wing marking found in many of its relatives. There are pale brown wing spots, and whitish tail feather tips. The male is unknown. The male's song is unknown, but unidentified nightjar calls heard in the breeding area include a rapid churring and a knocking sound.",nature,7
"Amtosaurus (/ˌɑːmtoʊˈsɔːrəs/; Kurzanov & Tumanova, 1978) is a genus of ornithischian dinosaur based on a fragmentary skull collected from the Upper Cretaceous Bayanshiree Svita Formation (Cenomanian-Santonian) of Mongolia and originally believed to represent an ankylosaurid. Hadrosaurid affinities have also been suggested. However, per Parish and Barrett, this specimen is too fragmentary to be reliably classified beyond an indeterminate ornithischian. A second species assigned to the genus, A. archibaldi, has become the basis of a valid ankylosaurid taxon, Bissektipelta.",nature,7
"The Japanese silver-biddy (Gerres equulus) is a species of mojarra native to the coastal waters of the western Pacific Ocean from southern Korea to southern Japan, though it does not occur around the Ryukyu Islands. This species can reach 22.4 cm (8.8 in) in standard length. It is commercially important for the local fish industry in Japan.",nature,7
